episode,frames,return,misbehave,Lc,La,ratio,test
1.0,100.0,0.0,0.0,0.12966237789951265,-3.259517636299133,0.0,0.0
2.0,200.0,0.0,0.0,0.0021421436697710307,-3.034770565032959,0.0,0.0
3.0,257.0,1.0,0.0,0.1471996813081205,-2.9957290744781493,0.0,0.0
4.0,330.0,1.0,0.0,0.22429756242549048,-2.979241304397583,0.0,0.0
5.0,430.0,0.0,0.0,0.12500456224195658,-2.9638522243499756,0.0,0.0
6.0,486.0,1.0,0.0,0.20088601412251592,-2.9420574283599854,0.017857142857142856,0.0
7.0,557.0,0.0,1.0,0.19377957310061902,-2.8991483640670777,0.0,0.0
8.0,657.0,1.0,0.0,0.17343643464148045,-2.8571044540405275,0.0,0.0
9.0,757.0,0.0,0.0,0.14169482975732536,-2.8051238679885864,0.0,0.0
10.0,857.0,0.0,0.0,0.1371527527482249,-2.762721996307373,0.0,0.0
11.0,908.0,1.0,0.0,0.169461322335992,-2.721332893371582,0.0,0.0
12.0,1002.0,0.0,1.0,0.19186951166484506,-2.677105121612549,0.0,0.0
13.0,1081.0,1.0,0.0,0.15500329264905305,-2.6274082803726198,0.0,0.0
14.0,1149.0,0.0,1.0,0.17626896836794914,-2.57030620098114,0.014705882352941176,0.0
15.0,1216.0,1.0,0.0,0.17063679728191347,-2.524918303489685,0.014925373134328358,0.0
16.0,1316.0,0.0,0.0,0.15436515278881416,-2.48103404045105,0.01,0.0
17.0,1390.0,0.0,1.0,0.1369864732917631,-2.4412980318069457,0.0,0.0
18.0,1453.0,0.0,1.0,0.1397224233392626,-2.3961648654937746,0.0,0.0
19.0,1528.0,0.0,1.0,0.13829944249562687,-2.36117835521698,0.0,0.0
20.0,1586.0,1.0,0.0,0.15635138680110686,-2.3177625560760498,0.0,0.0
21.0,1647.0,1.0,0.0,0.16928333754302002,-2.2783477306365967,0.0,0.0
22.0,1704.0,0.0,1.0,0.15101688002119773,-2.245234212875366,0.017543859649122806,0.0
23.0,1753.0,1.0,0.0,0.16717726677423342,-2.20946702003479,0.0,0.0
24.0,1803.0,0.0,1.0,0.16084251416090412,-2.176995553970337,0.02,0.0
25.0,1903.0,0.0,0.0,0.14192453474825015,-2.148247995376587,0.0,0.0
26.0,1958.0,0.0,1.0,0.14647480121697298,-2.1144712734222413,0.01818181818181818,0.0
27.0,2035.0,0.0,1.0,0.12770835139788686,-2.0861577939987184,0.012987012987012988,0.0
28.0,2097.0,1.0,0.0,0.13710102998971707,-2.0566265296936037,0.016129032258064516,0.0
29.0,2145.0,1.0,0.0,0.14600697267334908,-2.030511381626129,0.020833333333333332,0.0
30.0,2209.0,0.0,1.0,0.13385877641267144,-2.0021456408500673,0.015625,0.0
31.0,2309.0,0.0,0.0,0.13476439905469306,-1.9706429839134216,0.01,0.0
32.0,2374.0,0.0,1.0,0.12924151556217112,-1.9455187010765076,0.015384615384615385,0.0
33.0,2451.0,1.0,0.0,0.12780855719727696,-1.9149984478950501,0.0,0.0
34.0,2545.0,0.0,1.0,0.13325246962544043,-1.884036738872528,0.0425531914893617,0.0
35.0,2645.0,0.0,0.0,0.1147001915902365,-1.8562344980239869,0.01,0.0
36.0,2745.0,0.0,0.0,0.0994193011770949,-1.8327062320709229,0.02,0.0
37.0,2805.0,1.0,0.0,0.13008959143888205,-1.80228431224823,0.03333333333333333,0.0
38.0,2870.0,0.0,1.0,0.11677049462094147,-1.7795661067962647,0.03076923076923077,0.0
39.0,2938.0,0.0,1.0,0.08864089325492387,-1.7553649377822875,0.04411764705882353,0.0
40.0,3038.0,1.0,0.0,0.11303501650709222,-1.7289848566055297,0.01,0.0
41.0,3138.0,0.0,0.0,0.11240272656540583,-1.704742648601532,0.02,0.0
